,id,thread_id,chat,author,author_username,author_name,author_is_bot,body,reply_to,views,timestamp,unix_timestamp,timestamp_edited,unix_timestamp_edited,author_forwarded_from_name,author_forwarded_from_username,timestamp_forwarded_from,unix_timestamp_forwarded_from,attachment_type,attachment_data,attachment_filename,matching_lexicons,Node_URL_count
55,4609,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1303,2022-10-08 18:56:30,1665255390,2022-10-08 19:03:15,1665255795.0,,,,,url,,,,2
56,4583,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1039,2022-10-06 18:46:58,1665082018,2022-10-06 18:47:34,1665082054.0,,,,,url,,,,2
57,4563,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1118,2022-10-05 19:00:26,1664996426,2022-10-05 19:05:39,1664996739.0,,,,,url,,,,2
58,4560,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1127,2022-10-04 18:31:16,1664908276,2022-10-04 18:40:36,1664908836.0,,,,,url,,,,2
60,4521,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1114,2022-10-03 18:48:06,1664822886,2022-10-03 18:48:29,1664822909.0,,,,,url,,,,2
61,4509,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1226,2022-10-02 19:01:00,1664737260,2022-10-02 19:04:36,1664737476.0,,,,,url,,,,2
62,4497,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1269,2022-10-01 18:55:12,1664650512,2022-10-01 18:56:17,1664650577.0,,,,,url,,,,2
63,4469,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1041,2022-09-30 19:00:43,1664564443,2022-09-30 19:00:55,1664564455.0,,,,,url,,,,2
65,4440,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,986,2022-09-29 19:00:52,1664478052,2022-09-29 19:38:59,1664480339.0,,,,,url,,,,2
66,4415,nbondarik,nbondarik,1392293072,nbondarik,,False,"Новая неделя, новая подборка полезных и, как оказалось, востребованных читателями материалов:

— А. Маркин — Справочник пехотинца. Для тех, кому в армию, и не только (2022) https://t.me/angiezen/470

— О. Валецкий, В. Неелов — Особенности партизанских и противопартизанских действий в ходе Иракской войны 2003-2011 (2015) https://t.me/angiezen/477

— О. Валецкий — Теория и практика пехотных атак при использовании ударных отрядов в Югославской войне (2020) https://t.me/angiezen/483

— О. Валецкий — Балканские мины. Записки деминера из Боснии и Герцеговины (2016) https://t.me/angiezen/487

— И. Коновалов, О. Валецкий — Эволюция частных военных компаний (2013) https://t.me/angiezen/490

#читать
@angiezen",,878,2022-09-29 9:47:31,1664444851,2022-09-29 12:46:47,1664455607.0,,,2022-09-28 13:15:41,1664370941.0,photo,"{""id"": 5305400323260662411, ""dc_id"": 2, ""file_reference"": ""0252fcb4d00000113f635c2354f875e2e9f1b15052555f029710227f03""}",nbondarik-4415.jpeg,,5
68,4401,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1030,2022-09-28 18:45:57,1664390757,2022-09-28 19:37:13,1664393833.0,,,,,url,,,,2
72,4354,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 
👇👇👇👇👇👇👇👇👇

https://t.me/nbondarik/4182",,1187,2022-09-26 18:46:25,1664217985,2022-09-26 18:50:14,1664218214.0,,,,,url,,,,2
74,4337,nbondarik,nbondarik,1392293072,nbondarik,,False,"УДАЛЕНКА ДЛЯ БЕЖЕНЦЕВ!

Составил подборку источников для поиска удалённой работы и самообразования. Специально для тех, кто решил покинуть Россию чтоб не стать пушечным мясом для путина и абрамовича.
👇👇👇👇👇👇👇👇

Удаленка из любой точки мира:

https://t.me/tractor_job

https://t.me/evacuatejobs

https://t.me/budujobs

https://t.me/recruit_jobs

https://t.me/+focfZNw0vucyODcy

https://t.me/vakanser

https://t.me/remote_job_offers

https://t.me/ruhelpers

https://t.me/jobtalker

Удаленка из Турции:

https://www.jobsinistanbul.com/ 

https://t.me/jobtalkertr


Образовательные телеграм каналы:

https://t.me/joinchat/AAAAAEODiKDRlvNsEDwXRw

https://t.me/joinchat/AAAAAFgITvCoA4h2nuug8A
https://t.me/truebusiness

https://t.me/joinchat/AAAAAE7WwIHpKEXnoMc5tQ

Делитесь своими находками и полезными каналами 💌

#работа #удаленка",,1112,2022-09-26 10:44:05,1664189045,2022-09-26 10:45:54,1664189154.0,,,,,url,,,,14
76,4327,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 

https://t.me/nbondarik/4182",,1113,2022-09-25 18:47:14,1664131634,2022-09-25 18:50:17,1664131817.0,,,,,url,,,,2
83,4303,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 

https://t.me/nbondarik/4182",,1212,2022-09-24 18:46:39,1664045199,2022-09-24 18:53:44,1664045624.0,,,,,url,,,,2
88,4296,nbondarik,nbondarik,1392293072,nbondarik,,False,"МОЛИТВА О ПОБЕДЕ РУССКОГО ОРУЖИЯ. КАЖДЫЙ ВЕЧЕР В 22.00. РЕПОСТ! 

https://t.me/nbondarik/4182",,1387,2022-09-23 18:46:49,1663958809,2022-09-23 18:47:09,1663958829.0,,,,,url,,,,2
91,4280,nbondarik,nbondarik,1392293072,nbondarik,,False,"КАЖДЫЙ ВЕЧЕР В 22.00
РУССКАЯ МОЛИТВА. 

https://t.me/nbondarik/4182",,1235,2022-09-22 18:45:26,1663872326,2022-09-22 19:50:29,1663876229.0,,,,,url,,,,2
95,4212,nbondarik,nbondarik,1392293072,nbondarik,,False,"ДЕБАНДЕРИZАЦИЯ. 

Мой бесчеловечный текст о методах приведения хохлов в чувство и возвращении их в человеческий облик. 
😁👇👇👇
https://t.me/nbondarik/1628",,3069,2022-09-16 23:03:13,1663369393,2022-09-17 3:19:09,1663384749.0,,,,,url,,,,2
97,4209,nbondarik,nbondarik,1392293072,nbondarik,,False,"КАК ЛУЧШЕ КАЗНИТЬ НАЁМНИКОВ. 

Прям до печенок пробирает, как хорошо я написал. 😁
Втыкайте и наслаждайтесь. 
Не забудьте подписаться. 
https://t.me/nbondarik/2410",,3229,2022-09-16 20:40:14,1663360814,2022-09-16 20:41:38,1663360898.0,,,,,url,,,,2
102,4067,nbondarik,nbondarik,1392293072,nbondarik,,False,"В Новосибирске жители ""хилокского гетто"" взывают о помощи из-за ситуации с мигрантами👆

К нам обратились жители Хилокского жилмассива города Новосибирска. На территории данного массива творится сущий миграционный беспредел:
— мигранты занимаются незаконной торговлей, располагая свои торговые точки вблизи жилых домов;
— режут и разделывают животных;
— устраивают драки и хулиганят;
— мусорят;
— на днях гастарбайтер разбил камнем стекло в автобусе.

Многочисленные жалобы на беспредел мигрантов, в том числе мэру города, не приводят к результатам. Во многом, потому что мэр тесно аффилирован с азербайджанской диаспорой и неким Бабаевым Расим Сахиб Оглы.

Мы призываем дружественные каналы распространить информацию о происходящем в Хилокском районе Новосибирска, так как знаем, что общественный резонанс может помочь жителям района.

План действий:

Пишем заявление в СК @infocentrskrf_dialog со следующим текстом:

Мной в сети Интернет были обнаружены многочисленные материалы происходящего миграционного беспредела на территории Хилокского жилмассива города Новосибирска: (прикладываю их заявлению) https://vk.com/hilokskaya_street, https://t.me/trubyna/291, https://t.me/trubyna/3015, https://t.me/trubyna/5338, https://t.me/trubyna/5388, https://t.me/trubyna/5389, https://t.me/trubyna/5653, https://sibkray.ru/news/1/960046/, https://vk.cc/cgizFo, https://vk.cc/cgizGv и другие.

При этом местные власти не предпринимают конкретных мер по ликвидации проблем и преступлений, совершаемых мигрантами из Средней Азии на территории Хилокского жилого массива.

В этой связи прошу:
1. Поднять решение проблемы беспредела мигрантов на территории Хилокского жилого массива на федеральный уровень под личный контроль Руководителя СК РФ Александра Бастрыкина.
2. Привлечь к ответственности участников убийства животных на улице по статье 245 УК РФ.
3. Привлечь каждого участника драк как минимум по статье 213 УК РФ;
4. Провести проверку в отношении организаторов и кураторов торговых точек и привлечь в случае нарушений их ответственности по статье 322.1 УК РФ;
5. Привлечь нелегальных мигрантов из Средней Азии к ответственности по статье 322 УК РФ.",,586,2022-09-05 14:49:00,1662389340,2022-09-05 14:55:34,1662389734.0,,,2022-09-05 7:10:24,1662361824.0,url,,,,6
103,4055,nbondarik,nbondarik,1392293072,nbondarik,,False,"МИНЮСТ ОТСО...ПРИНЁС ИЗВИНЕНИЯ КАДЫРОВУ. 

Как я и ванговал в своём посту от 1 сентября, (ссылка ниже) вся эта неказистая история с запретом Минюстом неких исламских текстов была сбацана на коленке чтоб поднять рейтинг Кадырова. 

Минюст запретил, Кадыров возмутился и резко протестовал. 
Минюст сделал ""ку"" и отменил своё решение по прямому указанию Путина. 

Теперь Кадыров весь в белом и с тюрбаном защитника веры на голове. 

А попавший под запрет «Сахих аль-Бухари» в ближайшее время «усиленно издадут» в правильном переводе и «под присмотром Кадырова» всем бесплатно раздадут. 

Кроме того, прокуратура набутылит судью рассмотрит решение суда, запретившего сборник, на предмет его правомерности.

Согласитесь, простенько и со вкусом.  Вопрос скорее в том, куда теперь этого чеченского аятоллу будут двигать? 
Он сам заявил о своём уходе с поста эмира Ичкерии и ходят слухи что он займёт высокий пост в Росгвардии. Чуть ли не Золотова заменит, который уйдёт в министры обороны.

 Но я допускаю ещё один вариант. 
В Чечне создан 78 мотострелковый полк, имени Ахмата Кадырова. 

Новое подразделение входит в состав достаточно известной 42-й Евпаторийской мотострелковой дивизии.
Кстати, это не мусора. Не ""петушиные береты""   Росгвардии. Нет. Это ВС РФ. Армия. 

Может Рамзан возглавит этот полк, чтоб увенчать себя лаврами великого полководца?

А после этого уже можно хоть в министры хоть в президенты. 
Не дай то Бог, конечно...
А вот мой пост с вангованием 
https://t.me/nbondarik/4035",,889,2022-09-03 20:45:03,1662237903,2022-09-03 21:09:04,1662239344.0,,,,,url,,,,2
137,3505,nbondarik,nbondarik,1392293072,nbondarik,,False,"22 ИЮНЯ - ДЕНЬ ГНЕВА. 

https://t.me/nbondarik/506",,451,2022-06-22 8:57:43,1655888263,2022-06-22 8:57:46,1655888266.0,,,2022-06-20 19:08:16,1655752096.0,url,,,,2
139,3490,nbondarik,nbondarik,1392293072,nbondarik,,False,"22 ИЮНЯ - ДЕНЬ ГНЕВА. 

https://t.me/nbondarik/506",,2838,2022-06-20 19:08:16,1655752096,2022-06-20 19:09:06,1655752146.0,,,,,url,,,,2
172,2894,nbondarik,nbondarik,1392293072,nbondarik,,False,"Дважды осуждённый педофил на службе у RT под видом военного аналитика США

У RT хватило денег на одного Скотта Риттера, и теперь это штатный западный военный эксперт, который объясняет, что это мы не обосрались, а просто штаны грязью испачкали. ВС РФ не плохо воюет, это мы просто хотим сохранить жизни гражданских и поэтому несём такие потери и мало продвигаемся. Этого эксперта подрядили оправдывать и комментировать вообще всё:

https://t.me/dimsmirnov175/33320
https://t.me/dimsmirnov175/32891
https://t.me/dimsmirnov175/32755
https://t.me/dimsmirnov175/32720
https://t.me/dimsmirnov175/32497

Скотт Риттер, Скотт Риттер — затычка в каждой бочке.

Я вот подумал, кто в экспертной среде США может быть настолько отчаянным, чтобы брать деньги у Кремля или просто топить за РФ? Ведь это сразу выписка из всех тусовочек. Подумал, что какой-то маргинал и решил посмотреть биографию.. но там оказалось всё куда хуже.

""he was convicted of unlawful contact with a minor and five other charges that resulted in two years of incarceration.""

В общем, ещё задолго до его связей с РФ, этого эксперта ловили на малолеток в стиле Тесака. Сначала в 2001 (что исключает подставу за сотрудничество с русскими), потом в 2009. Видимо, обнаруживали его попытки подобраться к малолеткам и устраивали подставы, чтобы упечь его и сберечь детей. Обычно их находят на форумах, специализированных сайтах и т.д. Потому что лучше поймать так, чем после факта преступления. Да и лицом он полностью подходит под типаж педофила, посмотрите знаменитые выпуски с Крисом Хенсеном. Это полностью уничтожило его карьеру не только как военного, но и вообще любую, таких там не прощают.

И только после этого его подобрала RT, чтобы выставлять как вменяемого американского военного эксперта. Человеку уже нечего терять, хуже sex offender только repeat sex offender. Его не возьмут не то, что в колледж преподавать, а даже в Макдональдс. Там его соседям сообщают, что рядом с ними живёт маньяк, такие регистрироваться вынуждены.

Нет, я не против, чтобы на Западе были какие-то эксперты, что топят за нас. На это выделяются бюджеты и всё такое. Но русская дипломатия должна добиваться, чтобы это были действительно уважаемые эксперты из институтов и ведомств. Иначе зачем нам нужен калантаряновский цирк, RT, бюджеты на международные представительства, НГО и народную дипломатию? Если нас настолько не любят на Западе, пусть это будут китайские эксперты. Вместо этого, RT и прочие российские структуры столь зачумлённые со своим международным правом и уважением суверенитета стран, что заманивать туда получается лишь педофилов. А наверх это явно докладывается как об установлении контакта с американским экспертным сообществом, хотя ни один эксперт там ему руку даже не пожмёт. Понятно, что Скотт Риттер на данный момент никаким военным экспертом не является.

По мне, лучше без купленных западных экспертов, чем с такими. США это общество, которое презирает людей с нечистой criminal record, а педофилов вообще за людей не считают. Когда такой топит за Россию, это только повод ещё меньше нам доверять. Даже если поверить, что его в своё время подставили за критику администрации Буша (хотя такое это удел фильмов, в жизни проще уволить, а подстава может пойти не так — да и суды с полицией в США не подчиняются Пентагону или президенту), для нас это ничего не меняет, связываться с таким экспертом было всё равно что изваляться в грязи. Но это и вовсе не операция влияния на американские политические и экспертные круги, это говорящая голова для российской аудитории, призванная маскировать тувинские проёбы военным благородством. Американский эксперт сказал, что мы успешно воюем с фашизмом и у нас нет недостатка высокоточного оружия — Зин, американец-то врать точно не будет.

Я только боюсь представить, сколько армяне распилили денег, рассказывая, что вербуют важных членов американского экспертного сообщества.

Пора дать уважаемому военному аналитику российское гражданство и вывезти в РФ, а если в его районе начнут пропадать девочки — ничего страшного, куда важнее доносить до западных партнёров нашу точку зрения.",,583,2022-05-11 15:20:29,1652282429,2022-05-11 15:33:22,1652283202.0,,,2022-05-11 14:28:12,1652279292.0,url,,,,6
